品牌,型号,颜色,系统,价格,月成交纪录,累计评价,手机类型,电池类型,核心数,电池容量,机身款式,键盘类型,厚度,后置摄像头,摄像头类型,视频显示格式,机身内存,运行内存,尺寸,触屏类型,分辨率,收藏人气,字段25
 Apple/苹果, iPhone&nbsp;4s, 白色 黑色, iOS,1999.00,770,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 双核心, 1420mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 800万, 双摄像头（前后）, 720P(逐行高清D4), 8GB, 512MB, 3.5英寸, 电容式, 960x640,（2584人气）,
 Samsung/三星, GALAXY&nbsp;Note4&nbsp;SM-N9108V, 幻影白 雅墨黑, Android/安卓,6888.00,51,, 时尚手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核心, 2.7GHz,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 2560x1440像素,（395人气）,
 Gionee/金立, 荣耀金, Android/安卓, 拍照手机 时尚手机 智能手机 3G手机 4G手机 商务手机,2400.00,436,, 不可拆卸式电池, 四核心, 1.3GHz, 6020mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 3GB, 5.5英寸, 电容式, 1280x720,（828人气）,
 Meizu/魅族, 魅蓝Note2, 灰色 白色 粉红色 蓝色, FLyme,899.00,42110,, 拍照手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 智能真8核, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（251364人气）,
 Samsung/三星, SM-A5000, 雪域白 魔幻金 骑士银 精灵黑, Android/安卓,4998.00,48,, 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（291人气）,
 Meizu/魅族, 魅蓝2移动公开版, 灰色 白色 粉红色 蓝色, FLyme,999.00,5677,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 四核心, 1.3GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（29529人气）,
 nubia/努比亚, My&nbsp;布拉格&nbsp;精英版, 前白后金, Android/安卓,2499.00,823,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 双四核, 2200mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 3GB, 5.2英寸, 电容式, 1920x1080,（7309人气）,
 OnePlus/一加, ONE&nbsp;A2001, 砂岩黑, Android/安卓,2399.00,1207,, 拍照手机 智能手机 4G手机, 不可拆卸式电池, 四核A57&nbsp;1.8GHz+四核A53&nbsp;1.55GHz, 3300mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB 64GB, 4GB 3GB, 5.5英寸, 电容式, 1920x1080,（27229人气）,
 ZTE/中兴, A2015顶配版, 华尔金, Android/安卓,4088.00,97,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万像素+200万像素, 双摄像头（前后）, 128GB, 4GB, 5.5英寸, 电容式, 2560×1440像素,（111人气）,
 Coolpad/酷派, 8690-T00, 钛晶白 土豪金 黑色, Android/安卓,1599.00,144,, 拍照手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.2英寸, 电容式, 1920x1080,（6192人气）,
 Samsung/三星, SM-N9150, 幻影白 雅墨黑, Android/安卓,4599.00,21,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 2.7GHz,, 直板曲面侧屏, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB, 3GB, 5.6英寸, 电容式, 2560×1440像素,（7374人气）,
 Meizu/魅族, MX5联通版, 银黑 金色 银白 灰色, FLyme,1799.00,606,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHz, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920*1080,（8634人气）,
 zuk, Z1, 深空灰 白色, Android/安卓,1828.00-1957.00,3032,, 智能手机 4G手机 商务手机, 不可拆卸式电池, 四核, 4100mAh, 直板, 虚拟触屏键盘, 8.9mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 64GB, 3GB, 5.5英寸, 电容式, 1920*1080,（21180人气）,
 vivo, y27, 极光白, Android&nbsp;4.4,1498.00,371,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 8GB 16GB, 1GB, 4.7英寸, 电容式, 1280x720,（3600人气）,
 OPPO, R8207, 宝石蓝 冰晶白, Android/安卓,2699.00,291,, 拍照手机 音乐手机 智能手机 4G手机, 不可拆卸式电池, 八核1.5GHz, 2420mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 720P(逐行高清D4), 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（5035人气）,
 Coolpad/酷派, 大神Note3全网通, 魔力白, Android/安卓,1200.00,123,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 八核, 1.4GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（303人气）,
 Microsoft/微软, Lumia&nbsp;640XL, 亮白 亚光黑 亚光橙 亚光蓝, Windows&nbsp;Phone,1299.00,1129,, 拍照手机 智能手机 4G手机 商务手机, 可拆卸式电池, 四核, 3000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头（前后）, 1080P(全高清D5), 8GB, 1GB, 5.7英寸, 电容式, 1280x720,（6015人气）,
 Coolpad/酷派, 8675-A, 智尚白, Android/安卓,899.00,273,, 拍照手机 智能手机 3G手机 4G手机, 可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1280x720,（190080人气）,
 Gionee/金立, 荣耀金, Android/安卓, 拍照手机 智能手机 3G手机 4G手机 商务手机,3600.00,36,, 可拆卸式电池, 八核, 1.3GHz, 2500mAh, 翻盖, 实体键盘和虚拟键盘, 1CM以上, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 4.0英寸, 电容式, 800x480,（86人气）,
 奇酷, 青春版, 智铂银, 360OS,1299.00,227,, 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 智能真8核, 3000mAh, 直板, 虚拟触屏键盘, 9mm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.5, 电容式, 1920x1080,（535人气）,
 Samsung/三星, 钛泽银 铂光金 雪晶白, Android/安卓, 智能手机 4G手机,5888.00,102,, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1600万, 双摄像头（前后）, 2160p, 32GB 64GB, 4GB, 5.7英寸, 电容式, 2560×1440像素,（8226人气）,
 vivo, X5Pro(16G), 极夜黑 极光白, Android/安卓,2498.00,328,, 4G手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.2英寸, 电容式, 1920x1080,（2333人气）,
 nubia/努比亚, Z9&nbsp;精英版, 金色, Android/安卓,4080.00,32,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 64GB, 4GB, 5.2英寸, 电容式, 1920x1080,（215人气）,
 DOOV/朵唯, L5&nbsp;pro, 新生白, 阿里巴巴YunOS,2199.00,1513,, 拍照手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 八核, 1.3GHz, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.2英寸, 电容式, 1920x1080,（2568人气）,
 SMARTISAN/锤子, 远洲鼠 苏芳 石竹 锖青磁 落栗 柳煤竹茶 枯草 鸠羽紫, Smartisan&nbsp;OS, 时尚手机 智能手机 4G手机 女性手机,999.00,6756,, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ, 2900mAh, 直板, 虚拟触屏键盘, 0.9cm, 1300万, 双摄像头（前后）, 1080P(全高清D5), 32GB, 2GB, 5.5英寸, 电容式, 1920x1080,（31418人气）,
 Asus/华硕, Zenfone, 红色 金色 银灰色, Android/安卓,1599.00,725,, 拍照手机 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 四核, 3000mAh, 直板, 虚拟触屏键盘, 9mm(含)-10mm(含), 1300万, 双摄像头(前后), 1080P(全高清D5), 16GB, 4GB, 5.5英寸, 电容式, 1920x1080,（9524人气）,
 Motorola/摩托罗拉, 曜石黑 冰山白, Android/安卓, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机,3399.01,236,, 不可拆卸式电池, 六核心, 3000mAh,, 虚拟触屏键盘, 6.1mm,, 双摄像头（前后）, 1080P(全高清D5),, 32GB, 3GB, 5.7英寸, 电容式, 2560×1440像素,（1147人气）,
 Samsung/三星, SM-G7200, 灰色 白色, Android/安卓,3688.00,225,, 智能手机 3G手机 4G手机, 可拆卸式电池, 四核心, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 1.5GB, 5.25英寸, 电容式, 1280x720,（1489人气）,
 Apple/苹果, iPhone&nbsp;6s, 玫瑰金色 深空灰色 金色 银色, IOS9,6088.00,10351,, 不详, 不详, 64&nbsp;位架构的&nbsp;A9&nbsp;芯片&nbsp;嵌入式&nbsp;M9&nbsp;运动协处理器, 1715mAh, 不详, 不详, 7.1毫米（0.28英寸）, 1200万, 双摄像头（前后）, 不详, 16GB 64GB 128GB, 不详, 4.7英寸, 具备&nbsp;3D&nbsp;Touch&nbsp;技术的&nbsp;Retina&nbsp;HD&nbsp;显示屏, 1334&nbsp;x&nbsp;750&nbsp;像素分辨率，326?ppi,（42096人气）,
 Apple/苹果, iPhone&nbsp;6, 银色 深空灰色 金色, iOS,4488.00,3933,, 不详, 不可拆卸式电池, 双核心, 1.4GHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB 64GB 128GB, 1GB, 4.7英寸, 不详, 1334×750,（211966人气）,
 Apple/苹果, iPhone&nbsp;6s&nbsp;Plus, 玫瑰金色 深空灰色 金色 银色, IOS9,5988.00,4310,, 拍照手机 音乐手机 智能手机 3G手机 4G手机, 不详, 64&nbsp;位架构的&nbsp;A9&nbsp;芯片&nbsp;嵌入式&nbsp;M9&nbsp;运动协处理器, 1810mAh, 直板, 不详, 7.3毫米（0.29英寸）, 1200万, 双摄像头（前后）, 不详, 16GB 64GB 128GB, 不详, 5.5英寸, 具备&nbsp;3D&nbsp;Touch&nbsp;技术的&nbsp;Retina&nbsp;HD&nbsp;显示屏, 1920&nbsp;x&nbsp;1080&nbsp;像素分辨率，401?ppi,（11669人气）,
 Huawei/华为, 荣耀7, 玫瑰金 荣耀金 典雅灰 冰河银, Android/安卓,2299.00-2999.00,25700,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4x2.2GHz&nbsp;+&nbsp;4x1.5GHz, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 2000万, 双摄像头(前后), 1080P(全高清D5), 16GB 64GB, 3GB, 5.2英寸, 电容式, 1920x1080,（103658人气）,
 Huawei/华为, 荣耀7i, 冰川白 沙滩金, Android/安卓,2300.00,2664,, 拍照手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 4*1.5GHz&nbsp;+&nbsp;4*1.2GHz, 3100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 后置旋转摄像头, 1080P(全高清D5), 32GB, 3GB, 5.2英寸, 电容式, 1920x1080,（8966人气）,
 Huawei/华为, Mate7标准版, 曜石黑 月光银, Android/安卓,3099.00,883,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4核A15&nbsp;1.8&nbsp;GHz+4核A7&nbsp;1.3&nbsp;GHz+微智核, 4100mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 16GB, 2GB, 6.0英寸, 电容式, 1920x1080,（3870人气）,
 Huawei/华为, 荣耀畅玩5X&nbsp;增强版, 暗夜灰 破晓银 落日金, Android/安卓,1700.00,836,, 拍照手机 时尚手机 智能手机 4G手机 商务手机 女性手机 老人手机, 不可拆卸式电池, 4*1.5GHz+4*1.2GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 3GB, 151.3*76.3*8.15mm, 电容式, 1920*1080,（1252人气）,
 Huawei/华为, 荣耀畅玩4C, 粉色 金色 白色 黑色 蓝色, Android/安卓,1129.00,6488,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核&nbsp;1.2GHz/四核&nbsp;1.5GHz+四核&nbsp;1.0GHz, 2550mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头(前后), 1080P(全高清D5), 8GB 16GB, 2GB, 5.0英寸, 电容式, 1280x720,（29912人气）,
 Huawei/华为, 荣耀畅玩5X, 暗夜灰 破晓银, Android/安卓,1399.00,349,, 拍照手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 4*1.5GHz+4*1.2GHz, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 151.3*76.3*8.15mm, 电容式, 1920*1080,（682人气）,
 Apple/苹果, iPhone&nbsp;5s, 银色 金色 深空灰色, iOS,2688.00,5988,, 拍照手机 时尚手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 双核心, 1228MHz,, 直板, 虚拟触屏键盘,, 800万, 双摄像头（前后）, 16GB 32GB 64GB, 1GB, 4.0英寸, 电容式, 1136x640像素,（56923人气）,
 Xiaomi/小米, 金属灰 湖蓝色 柠檬黄 桃粉色 白色, MIUI, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机,1580.00,5772,, 不可拆卸式电池, 六核, 3000mAh,, 虚拟触屏键盘, 9mm以下,, 双摄像头（前后）, 1080P(全高清D5),, 32GB, 3GB, 5.0英寸, 电容式, 1920x1080,（5660人气）,
 Huawei/华为, 荣耀畅玩4X高配版, 金色 前黑后白 黑色, Android/安卓,1408.00,2761,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.2GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头(前后), 8GB, 2GB, 5.5英寸, 电容式, 1280x720,（4976人气）,
 Samsung/三星, SM-G9280, 雪晶白 铂光金 钛泽银, Android/安卓,5888.00,536,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB 64GB, 4GB, 5.7英寸, 电容式, 2560×1440像素,（7952人气）,
 Xiaomi/小米, 小米手机4&nbsp;2GB内存版, 雅黑 白色, MIUI,1390.00,3077,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（18874人气）,
 Xiaomi/小米, 小米note, 天然竹 白色, MIUI,1800.00,1225,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 女性手机, 不可拆卸式电池, 四核心, 2.5GHz,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 3GB, 5.7英寸, 电容式, 1920x1080,（11644人气）,
 Xiaomi/小米, 小米手机4c, 湖蓝色 柠檬黄 金属灰 桃粉色 白色, MIUI,1299.00,1342,, 拍照手机 音乐手机 时尚手机 智能手机 3G手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 六核, 3000mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 16GB, 2GB, 5.0英寸, 电容式, 1920x1080,（2141人气）,
 Xiaomi/小米, 红米Note2, 灰色 粉色 白色 黄色 蓝色, MIUI,799.00,663423,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机, 可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 16GB, 2GB, 5.5英寸, 电容式, 1920x1080,（244530人气）,
 Samsung/三星, Galaxy&nbsp;note&nbsp;5&nbsp;SM-N9200, 雪晶白 铂光金, Android/安卓,5388.00,13,, 拍照手机 智能手机 3G手机 4G手机, 不可拆卸式电池, 八核, 1.5G&nbsp;HZ,, 直板, 虚拟触屏键盘,, 1600万, 双摄像头（前后）, 32GB, 4GB, 5.7, 电容式, 2560×1440像素,（37人气）,
 Letv/乐视, X800, 银白（移动4G/联通4G） 金色 银色, Android/安卓,2505.00,34100,, 拍照手机 音乐手机 时尚手机 智能手机 电视手机 4G手机, 不可拆卸式电池, 八核, 2.0G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB 64GB, 4GB, 5.5英寸, 电容式, 2560×1440像素,（36082人气）,
 Sony/索尼, 璨光金 镜像银, Android/安卓, 拍照手机 三防手机 音乐手机 时尚手机 智能手机 电视手机 4G手机 商务手机 女性手机,5699.10,1061,, 不可拆卸式电池, 八核, 2.0G, 3430mAh, 直板, 虚拟触屏键盘, 9mm以下, 2300万, 双摄像头（前后）, 支持MP4/3GP/AVC/AVI/MPEG-4等格式, 32GB, 3GB, 5.5英寸, 电容式, 3840x2160,（21506人气）,
 Huawei/华为, P8高配版, 栖霞粉 暮光紫 皓月银 苍穹黑 流光金, Android/安卓,3288.00,1286,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 四核&nbsp;2.2GHz+四核1.5GHz, 2680mAh, 直板, 虚拟触屏键盘, 9mm以下, 1300万, 双摄像头（前后）, 1080P(全高清D5), 64GB, 3GB, 5.2英寸, 电容式, 1920x1080,（1439人气）,
 Meizu/魅族, MX5公开版, 金色 灰色 银黑 银白, FLyme,2000.00,267,, 音乐手机 时尚手机 智能手机, 不可拆卸式电池, 真8核-2.2GHZ, 3150mAh, 直板, 虚拟触屏键盘, 7.6mm, 2070万, 双摄像头（前后）, 1080P(全高清D5), 16GB 32GB, 3GB, 5.5英寸, 电容式, 1920x1080,（508人气）,
 OPPO, R7S, 玫瑰金 金色, Android/安卓,2599.00,10854,, 拍照手机 音乐手机 时尚手机 智能手机 4G手机 商务手机 女性手机, 不可拆卸式电池, 八核, 1.7G,, 直板, 虚拟触屏键盘,, 1300万, 双摄像头（前后）, 32GB, 4GB, 5.5英寸, 电容式, 1920x1080,（45717人气）,
 Huawei/华为, 荣耀4A, 白色 黑色, Android/安卓,699.00,492,, 拍照手机 时尚手机 智能手机 儿童手机 4G手机 女性手机 老人手机, 可拆卸式电池, 4核&nbsp;1.1GHz, 2200mAh, 直板, 虚拟触屏键盘, 9mm以下, 800万, 双摄像头(前后), 1080P(全高清D5), 8GB, 2GB, 5.0英寸, 电容式, 1280x720,（656人气）,
